Date,Station,Daily_MAX_AQI,Daily_MEDIAN_AQI
18-09-2018,Sirifort,210,162.5
19-09-2018,Sirifort,216,175.5
20-09-2018,Sirifort,292,179
21-09-2018,Sirifort,290,88
22-09-2018,Sirifort,70,45
23-09-2018,Sirifort,78,56.5
24-09-2018,Sirifort,52,37.5
25-09-2018,Sirifort,114,51
26-09-2018,Sirifort,202,113.5
27-09-2018,Sirifort,325,146
28-09-2018,Sirifort,416,177
29-09-2018,Sirifort,296,230
30-09-2018,Sirifort,314,151
01-10-2018,Sirifort,368,172
02-10-2018,Sirifort,300,176.5
03-10-2018,Sirifort,483,152
04-10-2018,Sirifort,412,198
05-10-2018,Sirifort,404,236.5
06-10-2018,Sirifort,386,199.5
07-10-2018,Sirifort,309,187.5
08-10-2018,Sirifort,365,253
09-10-2018,Sirifort,386,257
10-10-2018,Sirifort,284,185
11-10-2018,Sirifort,414,178.5
12-10-2018,Sirifort,269,176
13-10-2018,Sirifort,424,260.5
14-10-2018,Sirifort,298,214.5
15-10-2018,Sirifort,403,258.5
16-10-2018,Sirifort,499,305.5
17-10-2018,Sirifort,413,309.5
18-10-2018,Sirifort,429,299.5
19-10-2018,Sirifort,389,282
20-10-2018,Sirifort,410,337
21-10-2018,Sirifort,338,296.5
22-10-2018,Sirifort,321,269
23-10-2018,Sirifort,479,208
24-10-2018,Sirifort,442,324
25-10-2018,Sirifort,452,321.5
26-10-2018,Sirifort,430,334.5
27-10-2018,Sirifort,446,353.5
28-10-2018,Sirifort,406,364
29-10-2018,Sirifort,500,363.5
30-10-2018,Sirifort,475,399.5
31-10-2018,Sirifort,498,357.5
01-11-2018,Sirifort,479,372
02-11-2018,Sirifort,449,401
03-11-2018,Sirifort,398,338.5
04-11-2018,Sirifort,362,133
05-11-2018,Sirifort,500,382
06-11-2018,Sirifort,444,343
07-11-2018,Sirifort,500,298.5
08-11-2018,Sirifort,500,473.5
09-11-2018,Sirifort,454,412.5
10-11-2018,Sirifort,472,386
11-11-2018,Sirifort,447,401.5
12-11-2018,Sirifort,457,407.5
13-11-2018,Sirifort,451,402.5
14-11-2018,Sirifort,364,248.5
15-11-2018,Sirifort,358,166.5
16-11-2018,Sirifort,388,332
17-11-2018,Sirifort,318,225
18-11-2018,Sirifort,413,324
19-11-2018,Sirifort,425,347.5
20-11-2018,Sirifort,435,382
21-11-2018,Sirifort,444,381
22-11-2018,Sirifort,500,299.5
23-11-2018,Sirifort,409,335
24-11-2018,Sirifort,315,247
25-11-2018,Sirifort,437,235
26-11-2018,Sirifort,424,363
27-11-2018,Sirifort,491,385
28-11-2018,Sirifort,432,346.5
29-11-2018,Sirifort,408,346
30-11-2018,Sirifort,407,352.5
01-12-2018,Sirifort,389,321
02-12-2018,Sirifort,420,317.5
03-12-2018,Sirifort,447,328.5
04-12-2018,Sirifort,462,351
05-12-2018,Sirifort,431,335.5
06-12-2018,Sirifort,458,361
07-12-2018,Sirifort,500,359
08-12-2018,Sirifort,439,348.5
09-12-2018,Sirifort,500,396.5
10-12-2018,Sirifort,476,431.5
11-12-2018,Sirifort,500,425
12-12-2018,Sirifort,448,334.5
13-12-2018,Sirifort,437,180
14-12-2018,Sirifort,401,247
15-12-2018,Sirifort,385,293
16-12-2018,Sirifort,466,279
17-12-2018,Sirifort,462,360.5
18-12-2018,Sirifort,500,381.5
19-12-2018,Sirifort,500,356
20-12-2018,Sirifort,500,425
21-12-2018,Sirifort,500,403.5
